time_stamp,humidity,temperature,pressure,voc,pm1.0_atm,pm2.5_atm,pm10.0_atm,latitude,longitude
2023-09-10 00:00:00,63.274,91.879,1012.636,68.639,3.23,4.7355,7.0280000000000005,17.962257,-66.198524
2023-09-17 00:00:00,60.611,91.908,1013.392,76.717,0.851,1.3695,2.4735,17.962257,-66.198524
2023-09-24 00:00:00,61.407,92.159,1012.891,80.258,1.438,2.3804999999999996,4.1885,17.962257,-66.198524
2023-10-01 00:00:00,64.626,91.289,1011.269,73.315,1.9715,3.319,5.9455,17.962257,-66.198524
2023-10-08 00:00:00,61.938,91.497,1013.603,77.53,1.9005,2.8745,4.535,17.962257,-66.198524
2023-10-15 00:00:00,63.619,91.07,1012.852,77.449,1.5745,2.952,4.744,17.962257,-66.198524
2023-10-22 00:00:00,65.395,89.375,1010.494,82.551,1.091,1.6465,2.7995,17.962257,-66.198524
2023-10-29 00:00:00,66.54,88.305,1012.766,71.42,1.6525,3.3765,7.5455,17.962257,-66.198524
2023-11-05 00:00:00,65.818,88.502,1013.892,69.208,1.7959999999999998,2.8985,4.924,17.962257,-66.198524
