time_stamp,humidity,temperature,pressure,voc,pm1.0_atm,pm2.5_atm,pm10.0_atm,latitude,longitude
2023-09-10 00:00:00,20.653,130.111,1009.418,76.845,6.115,9.154,11.867999999999999,17.937908,-66.18563
2023-09-17 00:00:00,17.799,131.624,1009.675,69.435,1.6445,2.7135,4.0075,17.937908,-66.18563
2023-09-24 00:00:00,18.176,131.374,1009.22,71.71,2.096,3.521,5.238,17.937908,-66.18563
2023-10-01 00:00:00,19.596,128.962,1007.578,81.31,2.3310000000000004,4.029,5.8375,17.937908,-66.18563
2023-10-08 00:00:00,18.548,129.655,1010.089,74.77,2.0625,3.1660000000000004,4.297000000000001,17.937908,-66.18563
2023-10-15 00:00:00,21.064,125.107,1009.102,71.314,1.0285,1.858,2.8825000000000003,17.937908,-66.18563
2023-10-22 00:00:00,20.659,125.396,1006.829,132.028,0.8325,1.4465,2.2350000000000003,17.937908,-66.18563
2023-10-29 00:00:00,24.924,118.179,1008.826,84.83,1.641,3.241,5.13,17.937908,-66.18563
2023-11-05 00:00:00,26.592,115.133,1010.515,87.754,1.374,2.403,3.676,17.937908,-66.18563
